"Totals, Female: Asian (Tot. F)","Totals, Female: Black/African American (Tot. F)","Totals, Female: Hispanics of any race (Tot. F)","Totals, Female: Native Hawaiian/Other Pacific Islander (Tot. F)","Totals, Female: Two or more races (Tot. F)","Totals, Female: White (Tot. F)","Totals, Male: Asian (Tot. M)","Totals, Male: Black/African American (Tot. M)","Totals, Male: Hispanics of any race (Tot. M)","Totals, Male: American Indian/Alaska Native (Tot. M)","Totals, Male: Native Hawaiian/Other Pacific Islander (Tot. M)","Totals, Male: Two or more races (Tot. M)","Totals, Male: White (Tot. M)"
4,0,1,1,4,8,1,0,6,0,0,1,4
8,0,1,1,2,7,2,0,3,0,0,0,6
17,4,7,1,6,74,16,15,17,0,1,8,195
0,1,0,0,0,1,0,1,0,0,0,0,6
0,5,0,0,0,22,3,10,4,0,0,4,108
0,5,0,1,0,33,3,7,5,0,0,3,117
0,0,0,0,0,0,0,1,0,0,0,0,4
4,14,0,0,2,33,14,7,1,0,0,5,89
4,7,0,0,4,29,12,6,1,0,0,6,79
5,3,0,0,4,30,5,12,1,0,0,8,95
3,3,0,0,4,27,10,9,3,0,0,10,97
0,0,1,0,2,23,0,2,7,1,0,7,60
2,1,1,0,1,16,1,1,4,0,0,9,92
0,0,1,0,1,8,1,0,6,0,0,5,74
0,0,1,0,1,17,0,3,1,0,0,3,68
0,0,0,0,2,7,0,2,5,0,1,6,68
0,0,0,0,1,14,2,0,3,0,0,2,52
0,0,2,0,1,17,22,2,4,0,0,3,65
2,0,1,0,0,15,1,4,4,0,0,1,76
5,0,6,1,0,61,19,2,19,2,1,6,249
4,0,10,0,1,69,30,5,25,2,1,10,273
5,0,7,0,2,71,27,4,24,5,3,9,288
7,1,8,0,4,71,30,4,25,7,5,8,308
9,1,7,0,5,67,30,5,40,6,4,13,338
6,6,35,0,2,17,83,12,129,1,17,13,95
8,8,38,0,2,19,112,14,169,0,11,21,90
15,12,37,0,1,12,118,21,194,0,5,25,97
18,10,31,0,2,11,126,12,249,0,2,22,107
13,8,28,0,6,7,129,8,231,0,1,14,102
12,2,10,0,0,75,50,5,48,7,4,0,375
3,1,5,0,6,74,21,2,12,0,0,33,198
5,2,4,0,7,63,19,4,11,0,0,36,196
6,7,4,0,6,59,23,6,16,0,1,33,214
9,7,3,0,13,61,25,13,10,0,1,43,235
8,8,3,0,16,74,30,7,10,0,1,50,258
3,8,5,0,25,99,29,12,11,0,0,64,304
4,6,3,0,27,110,23,16,16,0,0,82,332
3,6,2,0,4,44,12,17,3,1,0,19,252
6,3,1,0,10,51,13,17,5,2,0,24,246
6,5,0,0,8,52,12,15,7,2,0,35,218
2,6,1,0,8,42,8,15,10,3,0,51,228
1,0,58,0,5,0,1,0,101,0,0,39,3
0,0,42,0,0,3,0,1,98,0,0,0,7
1,0,1,0,0,12,0,0,5,0,0,17,47
0,0,0,0,0,14,0,1,5,0,0,12,41
0,0,0,0,2,15,0,1,3,0,0,4,38
0,0,1,0,0,16,0,1,4,0,0,3,46
0,0,1,0,0,16,0,0,2,0,0,2,49
0,0,0,0,0,15,0,0,1,0,0,1,54
0,1,50,0,0,7,1,2,109,0,0,0,10
1,2,75,0,0,2,3,0,134,0,0,0,6
9,5,1,0,3,5,35,17,9,0,0,16,52
0,7,0,0,5,8,17,18,3,1,0,28,90
3,5,0,0,5,8,17,12,6,1,0,39,105
1,10,1,1,2,8,19,19,4,1,0,29,115
1,6,0,1,3,4,15,23,5,0,0,29,125
10,0,0,2,7,22,68,4,18,2,5,70,291
7,0,0,2,8,23,67,5,20,3,4,86,331
5,0,1,1,9,27,62,6,21,5,4,119,357
4,0,0,1,10,31,61,4,32,4,2,133,362
7,0,1,1,15,32,73,7,38,0,1,151,406
8,1,1,0,2,4,37,1,6,0,0,9,46
1,1,2,0,2,4,34,0,7,0,0,5,37
0,1,2,0,2,4,35,0,9,0,0,5,40
3,0,2,0,3,2,28,0,11,0,0,9,27
4,0,2,0,3,3,25,2,8,0,2,17,33
7,1,4,0,5,4,22,2,14,0,0,18,38
18,8,9,0,3,19,79,13,29,0,0,7,119
13,4,3,0,0,18,57,10,29,0,0,4,107
6,0,3,0,0,1,27,1,6,1,0,11,33
5,0,3,0,0,1,22,1,11,1,0,9,34
3,1,3,0,0,2,12,0,14,0,0,7,30
10,3,4,0,0,4,49,5,35,1,3,0,69
7,6,0,0,1,6,39,36,6,0,0,0,99
8,3,1,1,0,7,23,28,8,1,0,0,82
6,7,0,1,0,11,37,42,7,1,0,3,112
2,6,1,0,0,9,37,33,10,2,0,4,111
5,7,2,0,3,12,50,36,10,1,0,6,135
1,6,1,0,0,9,11,23,9,0,0,7,93
0,9,0,0,6,5,17,27,13,0,0,18,82
1,5,2,1,6,5,23,28,16,0,1,16,86
4,3,2,1,6,6,28,22,12,1,0,18,73
4,2,3,1,7,5,29,26,17,0,0,17,79
15,3,3,0,0,6,66,7,30,1,6,0,71
12,2,5,1,0,7,79,6,35,1,2,0,76
16,2,4,0,0,7,95,4,45,0,0,0,84
15,0,8,0,0,10,118,4,74,1,0,0,90
2,4,5,0,4,13,33,26,15,0,0,26,214
5,0,0,0,1,8,46,5,10,0,0,25,145
13,1,7,1,7,62,142,10,64,2,4,54,701
7,1,1,0,2,6,43,14,17,0,1,13,48
1,6,0,1,7,5,11,24,7,0,1,38,112
2,4,0,1,6,8,17,22,6,0,1,55,126
5,3,0,0,6,14,30,24,11,0,0,71,140
22,1,14,0,0,8,126,2,96,2,0,0,117
1,0,0,0,0,3,6,0,0,0,0,1,8
2,0,0,0,0,2,8,0,0,0,0,2,9
1,1,1,0,0,3,14,4,1,1,0,1,14
0,1,0,0,1,4,0,0,2,0,0,0,14
0,0,0,0,2,2,0,0,1,0,0,0,12
0,0,0,0,2,0,0,0,0,0,0,1,10
0,0,0,0,2,0,0,0,0,0,0,1,14
0,0,0,0,0,0,0,0,0,0,0,3,15
0,1,0,0,0,0,0,0,0,0,0,2,12
2,1,0,0,0,1,33,9,6,0,0,0,24
9,3,2,0,0,2,55,8,14,0,0,0,19
6,0,0,0,0,3,49,6,4,0,0,0,22
4,1,0,0,0,4,33,5,9,1,0,0,26
2,2,0,0,0,2,31,7,8,0,0,0,29
0,0,0,0,0,1,1,0,2,0,0,0,4
0,0,0,0,0,5,0,0,0,2,0,3,63
0,0,0,0,0,6,0,0,0,2,0,1,62
0,0,0,0,0,4,1,0,3,0,0,3,66
0,0,0,0,0,5,2,0,3,1,0,1,83
0,0,0,0,0,5,2,0,3,2,0,1,93
14,3,17,0,2,3,116,19,135,0,17,4,46
19,2,15,0,3,2,152,21,156,1,10,8,59
20,2,23,0,0,1,162,17,193,2,8,10,72
27,2,26,0,1,3,178,11,178,5,6,16,78
19,2,20,1,2,2,196,13,187,1,2,17,74
1,1,0,0,0,14,6,4,9,1,1,0,177
0,0,0,0,0,17,5,0,9,2,0,0,176
0,0,0,0,0,14,2,1,6,2,0,0,165
0,0,0,0,0,14,4,4,4,2,0,0,166
0,0,1,0,0,12,4,1,4,0,1,0,184
0,0,0,0,0,9,5,4,5,2,1,0,175
8,1,2,0,3,15,65,6,16,0,0,26,175
1,1,0,0,0,13,5,4,6,0,0,0,183
2,15,0,0,3,6,5,32,7,0,0,1,106
1,7,2,0,2,6,0,44,7,1,0,4,101
2,12,3,0,0,8,1,35,4,0,0,2,96
2,17,1,0,1,6,2,38,3,1,1,4,85
11,3,1,0,0,0,51,6,9,0,0,0,24
0,1,0,0,1,4,2,1,3,0,0,0,14
0,1,0,0,0,6,3,1,5,0,0,0,21
2,0,0,0,0,15,7,4,6,1,0,2,204
3,1,5,0,0,13,28,5,20,0,0,0,98
6,1,2,0,0,15,28,7,17,0,0,0,98
10,1,2,0,2,11,22,2,11,0,0,6,41
9,1,4,1,2,7,27,2,15,0,0,9,48
9,0,4,0,2,9,40,0,19,0,0,12,57
9,2,3,0,2,8,48,0,20,0,1,15,71
13,3,4,0,5,10,66,6,35,0,1,20,103
27,4,8,0,7,15,78,4,42,0,0,23,122
0,0,0,0,0,5,3,0,7,2,0,2,112
13,0,10,0,2,1,104,6,91,0,0,13,34
0,0,0,0,0,0,2,0,6,0,0,0,6
0,0,1,0,0,3,2,1,1,0,0,0,75
0,0,1,0,0,1,2,2,1,0,0,0,68
0,0,1,0,0,1,3,1,0,1,0,0,55
0,0,1,0,0,0,1,1,1,1,0,0,41
0,1,0,0,0,0,0,1,2,0,0,0,54
0,0,0,0,0,4,2,1,3,0,1,0,78
0,4,0,0,1,6,1,10,1,1,1,1,71
0,2,0,0,1,6,1,6,4,1,0,0,75
0,2,0,0,0,7,2,5,2,0,0,2,57
0,1,1,0,0,7,4,3,2,0,0,3,46
0,0,0,0,0,8,0,1,4,0,0,0,84
10,6,5,0,1,13,60,17,17,0,1,27,87
3,4,1,0,8,11,21,29,13,1,1,55,152
3,3,1,0,7,12,27,28,8,1,1,47,148
7,6,1,0,7,99,25,22,6,2,1,71,169
7,6,3,0,14,14,33,21,8,2,1,90,199
1,1,1,0,1,8,14,20,3,0,0,21,149
1,2,2,0,1,9,16,26,8,0,0,43,129
2,2,4,0,2,11,19,26,12,0,0,34,118
2,2,2,0,2,8,15,18,12,0,0,32,112
3,1,0,0,3,8,9,19,15,1,0,41,126
3,9,0,0,4,11,41,14,8,0,0,22,165
5,10,0,0,7,20,48,17,8,0,0,36,185
9,6,0,0,7,17,40,11,9,0,0,31,201
7,5,0,0,6,15,36,13,7,0,0,37,181
6,4,0,0,5,21,28,18,11,0,0,41,173
8,4,2,0,2,18,30,18,9,0,0,33,162
6,5,3,0,2,15,36,17,11,0,0,23,163
9,4,3,0,3,19,49,10,15,0,0,20,203
7,4,3,0,1,22,49,13,17,1,0,24,219
4,1,4,0,8,33,36,16,22,1,0,51,303
11,5,4,5,5,28,56,14,16,1,23,56,220
4,9,0,0,3,13,44,24,6,0,0,14,183
13,6,5,0,0,9,65,18,16,0,1,27,92
8,5,2,0,15,14,30,28,10,1,1,109,191
3,4,2,0,18,16,38,26,13,0,0,131,194
3,9,3,0,21,16,33,24,11,0,0,138,200
1,0,28,0,4,1,1,3,182,0,0,31,15
1,0,32,0,0,2,2,0,186,1,2,0,10
0,0,0,0,0,7,2,1,2,0,0,14,57
0,0,0,0,2,9,1,0,1,0,0,7,46
0,0,0,0,3,7,1,0,1,0,0,6,45
0,1,0,0,3,7,0,0,1,0,0,5,44
0,1,0,0,1,6,2,0,0,0,0,7,36
0,0,0,0,1,7,3,0,2,0,0,9,26
12,1,1,0,0,6,53,6,13,0,0,0,15
11,0,1,0,0,6,58,3,11,0,0,0,22
9,0,0,0,0,7,42,4,10,0,0,0,26
9,0,0,0,0,6,38,5,9,0,0,0,17
4,0,0,0,0,2,43,8,11,0,0,0,36
2,1,2,1,0,1,19,5,4,0,0,0,13
0,1,1,0,0,0,15,2,3,0,0,0,11
1,1,2,0,0,0,16,1,3,0,0,0,7
0,0,2,0,0,0,9,0,2,0,0,0,7
0,0,1,0,0,1,10,1,1,0,0,0,3
0,5,0,0,0,1,0,28,1,0,0,0,0
0,30,0,0,0,0,0,109,1,0,0,0,2
0,26,0,0,0,0,0,87,2,0,0,0,5
0,22,1,0,0,0,0,61,1,0,0,0,4
0,14,0,0,0,0,0,61,0,0,0,0,4
0,0,1,0,1,17,1,0,9,2,0,6,159
0,0,1,0,0,14,0,0,6,0,0,3,169
1,0,0,0,0,14,4,1,9,1,0,3,167
2,0,2,0,0,14,3,2,5,0,0,2,158
1,0,2,0,0,18,3,2,5,2,0,1,144
1,1,1,0,0,25,3,7,4,0,0,0,218
1,1,0,0,2,25,1,6,5,0,0,0,236
1,2,0,0,0,23,2,9,3,1,2,0,219
2,3,1,0,0,20,2,7,5,0,2,0,213
2,1,2,0,0,19,1,8,6,1,1,0,225
1,2,1,0,0,21,2,5,5,0,1,0,256
1,1,1,0,0,34,3,6,6,0,0,0,227
10,9,2,0,1,9,39,31,12,0,1,2,120
6,6,1,0,0,9,39,29,11,0,0,0,112
8,5,2,0,1,15,45,25,12,0,0,5,111
10,7,1,0,0,9,42,30,11,0,0,4,118
0,5,0,0,0,7,2,13,4,3,0,0,97
0,4,1,0,0,4,1,24,3,3,0,0,121
0,3,1,0,0,2,2,23,1,2,0,0,120
0,3,0,0,0,5,3,11,0,1,0,0,90
0,2,0,0,0,8,3,13,4,0,0,0,119
0,5,0,0,0,7,2,9,3,0,0,0,103
0,2,0,0,0,6,3,10,3,0,0,0,111
8,11,1,0,1,5,35,27,9,1,1,2,123
10,8,14,0,0,37,77,27,118,6,0,0,376
12,7,16,1,0,47,83,26,144,3,4,0,421
20,5,27,0,0,58,94,20,151,1,3,0,516
20,4,32,0,0,77,103,25,195,1,3,0,506
25,6,32,1,0,72,96,20,212,2,0,0,549
20,5,22,1,0,50,78,16,145,1,0,0,389
11,0,1,0,0,3,60,6,6,1,0,0,21
4,0,2,1,0,1,16,3,4,0,0,0,9
0,0,0,0,0,1,1,1,0,0,0,1,1
2,0,1,0,0,1,7,3,1,0,0,0,16
1,3,1,0,2,9,3,9,4,2,0,8,81
0,3,1,0,2,7,2,7,2,1,1,2,65
1,3,2,0,4,6,3,5,7,1,1,4,63
0,3,3,0,1,6,3,7,8,0,1,2,60
2,2,1,0,1,8,8,11,12,0,1,1,59
13,2,3,0,2,14,51,26,15,0,0,14,101
0,0,0,0,0,15,0,1,4,1,0,1,56
0,0,1,0,0,13,1,0,5,1,0,2,55
1,1,1,0,0,35,5,3,4,1,0,6,258
2,0,4,0,0,20,17,2,17,0,0,0,97
9,5,4,0,1,14,52,27,15,0,0,10,103
20,3,26,1,0,54,88,23,144,1,1,0,383
2,0,0,0,0,1,10,8,3,0,0,1,26
1,0,39,0,0,1,1,0,203,1,1,0,12
1,0,51,0,0,2,0,2,209,1,0,0,16
11,7,16,0,0,33,38,25,82,1,0,0,380
10,7,13,0,0,44,38,22,72,1,0,0,346
6,3,14,0,0,43,45,27,86,4,0,0,339
10,7,10,0,0,37,66,24,106,6,0,0,387
11,7,16,1,2,43,74,19,115,3,3,12,348
15,5,22,0,3,53,85,14,121,1,2,19,423
17,4,26,0,4,67,88,18,149,1,2,21,406
23,6,29,1,6,60,78,17,166,2,0,20,454
21,5,22,1,4,45,79,18,117,1,0,21,332
21,3,27,1,4,58,79,21,135,1,0,14,348
1,0,2,0,0,16,2,0,9,5,0,9,164
3,3,1,0,2,17,3,9,2,2,0,15,100
2,1,0,0,4,14,4,4,1,0,0,12,39
1,1,0,0,2,14,5,3,0,0,0,7,38
2,0,0,0,1,19,5,2,0,0,0,8,37
2,0,0,0,2,20,3,2,1,0,0,9,45
8,3,1,0,4,66,47,27,12,3,0,55,464
14,7,1,0,7,61,42,22,12,2,0,64,486
14,7,2,0,8,79,45,27,14,4,0,74,480
10,10,2,0,10,82,46,30,19,3,0,100,571
10,7,2,0,0,30,56,45,9,2,0,5,267
10,9,5,0,0,26,59,50,13,2,3,5,241
8,12,6,0,1,27,64,43,21,2,3,4,254
9,13,5,0,4,27,61,42,19,3,2,7,262
12,8,2,0,2,43,53,45,17,0,1,14,253
0,2,0,0,1,38,17,23,16,1,0,10,546
1,0,0,0,4,36,23,28,24,2,0,55,549
0,2,2,0,6,40,26,33,24,7,1,65,508
2,1,3,0,6,34,26,27,25,5,1,65,502
4,1,3,0,2,32,33,34,29,3,0,82,524
3,2,5,0,2,72,32,18,15,2,0,26,547
3,4,6,0,3,73,49,20,16,1,0,29,566
4,1,5,0,3,63,47,10,15,0,0,50,570
2,3,3,0,5,57,44,14,13,0,0,69,555
6,1,3,0,11,55,40,14,9,1,0,102,542
8,4,4,0,13,63,40,17,14,1,0,106,566
9,5,5,0,15,72,46,22,21,3,0,84,617
10,4,5,0,9,73,49,19,31,3,0,60,650
10,2,4,0,2,69,52,13,37,2,0,36,701
1,5,1,0,4,59,26,12,30,3,0,46,562
11,10,4,0,14,88,40,33,25,0,0,154,614
11,11,5,0,17,128,59,43,30,1,0,214,669
9,11,8,0,23,140,63,40,37,1,2,229,745
6,5,7,0,4,26,15,10,16,0,0,7,93
8,6,5,0,2,33,18,15,20,0,0,2,106
11,3,5,0,2,35,18,15,22,1,0,7,123
13,3,7,0,2,37,28,14,22,1,0,7,138
1,0,0,0,1,20,2,1,6,0,0,15,106
0,0,1,0,0,9,2,1,6,0,0,10,85
0,0,0,0,0,13,1,1,4,0,0,7,67
0,0,0,0,0,10,0,1,1,0,0,3,58
0,0,0,0,0,14,0,0,0,0,0,6,67
0,0,0,0,0,19,0,0,0,0,0,8,70
5,1,8,0,1,56,24,2,23,3,0,10,321
7,0,5,0,1,65,39,4,29,5,1,21,368
10,0,8,0,4,99,63,6,50,7,1,40,498
6,0,13,1,3,102,72,6,58,7,1,51,538
11,1,14,1,6,111,91,5,69,12,5,69,598
17,3,6,0,0,16,86,4,25,0,0,0,66
6,2,5,0,0,13,97,4,23,0,0,0,61
7,2,3,0,0,14,88,11,22,0,0,0,70
9,2,3,0,0,13,75,12,21,1,0,0,64
6,0,2,0,0,9,48,18,21,0,0,0,59
0,1,1,0,0,10,7,5,2,0,1,1,104
1,0,0,0,0,16,3,3,5,1,0,0,126
0,2,0,0,1,16,3,6,5,1,0,5,147
1,3,1,0,0,26,5,10,7,1,2,2,185
19,1,14,1,11,128,107,5,88,17,6,84,634
0,4,0,0,0,17,1,23,4,1,0,0,208
0,4,0,0,0,15,2,40,3,2,0,0,301
1,2,2,0,0,12,1,37,3,2,0,0,279
1,3,0,0,0,12,1,30,3,2,0,0,196
1,4,0,0,0,20,3,31,5,4,0,0,262
1,2,0,0,0,25,4,29,7,4,0,0,233
0,2,0,0,0,26,4,46,7,4,0,0,288
5,5,22,0,0,136,42,11,99,6,0,0,789
6,5,30,1,0,129,36,19,126,4,1,0,768
8,6,29,1,0,123,39,17,129,5,2,0,791
8,3,37,0,0,130,41,15,128,3,1,0,736
8,2,38,0,0,136,47,17,151,4,1,0,755
6,2,27,0,0,100,33,12,124,2,0,0,543
19,2,5,0,0,18,88,3,23,0,0,0,61
24,5,14,0,11,24,97,9,44,1,0,11,80
4,3,24,0,0,112,40,12,134,2,0,0,561
5,6,16,0,0,123,34,12,116,7,0,0,814
5,5,14,0,0,113,40,10,109,5,0,0,808
5,5,14,0,0,120,32,8,103,6,0,0,766
1,0,1,0,0,40,13,6,12,1,0,6,230
1,2,0,0,1,43,16,9,13,2,0,7,276
0,2,1,0,0,0,0,0,0,0,0,0,1
0,3,3,0,0,0,2,2,2,0,0,2,13
0,2,2,0,2,4,3,5,2,0,0,8,21
0,3,1,0,2,8,3,8,3,0,0,11,25
0,4,1,0,5,13,3,7,4,0,1,13,28
0,0,1,0,0,4,5,2,21,0,0,1,33
0,2,3,0,1,32,4,2,3,2,0,6,73
2,4,2,0,3,37,4,2,5,1,0,7,81
2,2,2,0,5,49,6,1,4,0,0,5,93
2,2,3,0,3,65,4,0,6,1,0,9,89
6,11,27,0,0,114,37,22,120,3,0,0,638
7,11,21,0,0,103,33,24,130,2,0,0,610
8,9,23,0,0,81,26,23,141,3,0,0,642
6,9,24,0,0,89,35,27,160,2,0,0,669
9,6,36,0,0,91,35,33,185,3,1,0,701
11,5,39,0,0,83,38,30,174,4,2,0,603
18,5,57,0,0,118,54,29,203,4,2,0,675
0,0,1,0,0,1,3,3,10,1,0,1,17
6,0,8,0,0,3,10,6,54,1,0,4,87
5,1,12,0,1,4,12,9,59,2,0,5,109
0,2,10,0,0,16,17,9,45,2,0,0,269
2,3,13,0,0,23,18,9,57,2,0,0,294
2,3,14,0,0,19,23,13,58,2,0,0,285
3,3,12,0,0,17,23,11,61,0,0,0,284
3,3,11,0,0,18,20,13,62,0,0,7,259
3,3,10,0,0,15,19,15,75,0,0,7,276
3,3,13,0,1,19,26,20,99,0,0,7,289
4,3,20,0,0,23,23,17,117,0,0,5,304
3,2,16,0,1,21,23,9,88,0,1,1,227
3,1,16,0,1,18,17,7,70,0,1,5,194
7,11,16,0,0,83,12,6,27,2,0,0,387
4,5,12,0,0,81,12,10,41,4,0,0,364
1,4,14,0,0,88,12,11,59,4,0,0,355
3,8,15,0,0,97,14,12,59,3,0,0,355
5,8,10,0,3,85,13,11,70,2,0,6,353
5,6,13,0,1,66,7,8,66,3,0,6,367
3,6,11,0,2,70,9,7,64,2,0,10,382
5,3,15,0,3,67,9,15,61,2,1,10,384
5,4,17,0,3,74,15,20,67,3,2,14,401
10,5,36,0,4,113,32,19,103,2,1,17,478
2,0,0,0,0,7,3,0,1,0,0,0,13
1,0,0,0,0,1,1,0,1,0,0,1,1
3,0,0,0,0,4,3,0,0,0,0,0,1
4,0,1,0,0,9,1,0,1,0,0,2,3
4,0,1,0,0,11,1,0,1,0,0,2,5
1,0,0,0,0,8,0,1,0,0,0,1,2
1,0,0,0,1,9,0,1,0,0,0,1,3
1,2,2,0,0,29,3,6,11,1,0,0,89
1,3,4,0,0,25,9,3,14,1,0,0,76
3,0,4,0,0,26,14,3,16,0,0,0,81
2,2,8,0,0,29,12,4,15,0,0,0,77
4,2,14,0,1,29,9,6,13,0,1,3,91
4,1,13,0,2,41,9,7,23,0,0,3,98
2,2,18,0,2,25,14,2,12,0,0,0,58
2,0,1,0,2,27,1,2,2,0,0,4,78
0,0,0,0,0,10,1,0,0,0,0,0,16
15,3,8,2,14,56,17,5,25,3,1,19,116
0,5,1,0,0,13,0,5,12,0,0,3,41
4,7,0,1,0,14,11,15,5,1,1,5,98
6,26,0,0,0,11,3,13,1,0,0,2,100
14,42,1,0,2,27,12,38,4,0,0,2,195
11,32,0,2,0,19,18,19,10,2,0,9,201
13,31,2,2,0,22,19,34,9,2,0,10,191
9,3,8,0,1,38,11,3,28,0,0,3,107
9,4,11,0,1,25,5,4,24,0,0,1,102
5,3,11,0,3,18,9,2,16,0,0,1,73
